                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.0034,                 1.3339,                0.82129,                0.78348,                   0.93,                0.91284,                0.50656,                 1.6509,                 0.7688,                0.51577,              0.0011354,              0.0011354,              0.0011354
                    133,                 1.0109,                 1.3537,                0.82163,                0.76633,                0.88548,                0.91453,                0.49676,                 1.6828,                0.79569,                0.50509,              0.0011288,              0.0011288,              0.0011288
                    134,                 1.0146,                 1.3458,                 0.8246,                0.77153,                   0.83,                  0.852,                0.42895,                 1.7029,                 0.8738,                0.51851,              0.0011222,              0.0011222,              0.0011222
                    135,                0.99564,                 1.3382,                0.81783,                0.80065,                   0.83,                0.89126,                0.47732,                 1.6958,                0.87104,                0.51747,              0.0011156,              0.0011156,              0.0011156
                    136,                 1.0214,                 1.3691,                0.82296,                0.75018,                   0.83,                0.89045,                0.46864,                 1.7069,                 0.8433,                0.52666,               0.001109,               0.001109,               0.001109
                    137,                  1.011,                 1.3149,                0.81793,                0.75451,                 0.8913,                0.89759,                0.50986,                 1.6983,                0.80043,                0.51757,              0.0011024,              0.0011024,              0.0011024
                    138,                0.98964,                 1.3274,                0.81504,                0.64711,                   0.78,                0.79991,                0.40864,                 1.7376,                 0.9337,                0.52446,              0.0010958,              0.0010958,              0.0010958
                    139,                0.99985,                 1.3289,                0.81753,                0.87795,                0.71937,                0.88035,                0.46685,                 1.6809,                0.81174,                0.51829,              0.0010892,              0.0010892,              0.0010892
                    140,                0.98599,                 1.3301,                0.81542,                0.75973,                   0.92,                 0.9227,                0.52399,                 1.6827,                0.76119,                0.51096,              0.0010826,              0.0010826,              0.0010826
                    141,                 0.9931,                 1.3335,                0.81896,                0.71134,                   0.94,                0.90636,                0.49622,                 1.6921,                0.76645,                0.51561,               0.001076,               0.001076,               0.001076
                    142,                0.99436,                  1.322,                0.82231,                0.71702,                0.68416,                0.76937,                0.41457,                 1.6759,                0.96221,                0.51774,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.0008,                 1.3404,                0.81761,                0.72978,                   0.81,                0.89594,                0.46732,                 1.6881,                0.81045,                0.52014,              0.0010628,              0.0010628,              0.0010628
                    144,                0.98054,                 1.3172,                0.81761,                0.82624,                   0.92,                0.93638,                0.55468,                 1.6264,                0.71246,                0.51444,              0.0010562,              0.0010562,              0.0010562
                    145,                0.98787,                 1.3134,                0.81635,                0.75532,                   0.89,                0.89765,                0.52824,                 1.6737,                0.79133,                0.51471,              0.0010496,              0.0010496,              0.0010496
                    146,                0.99796,                  1.307,                0.81646,                0.73441,                   0.79,                0.85915,                0.47634,                 1.6837,                 0.8967,                 0.5142,               0.001043,               0.001043,               0.001043
                    147,                 1.0051,                 1.3005,                0.81555,                0.84584,                0.87791,                0.94198,                0.54006,                 1.6125,                0.75178,                0.50774,              0.0010364,              0.0010364,              0.0010364
                    148,                0.99614,                  1.313,                0.81739,                0.84954,                    0.8,                0.89128,                0.50974,                 1.6336,                0.86238,                0.50827,              0.0010298,              0.0010298,              0.0010298
                    149,                0.98771,                 1.3478,                0.81686,                 0.8161,                0.79878,                0.85486,                0.48701,                 1.6434,                0.89377,                0.50769,              0.0010232,              0.0010232,              0.0010232
                    150,                0.99967,                 1.3125,                0.81568,                0.78215,                0.86166,                0.89469,                0.49432,                 1.6571,                0.84343,                0.50952,              0.0010166,              0.0010166,              0.0010166
                    151,                0.98275,                 1.3139,                 0.8187,                0.74918,                   0.86,                0.87405,                0.48554,                 1.6677,                0.82204,                0.50452,                0.00101,                0.00101,                0.00101
